1_966.1273193359375,52.304141998291016,0.1807791143655777,970.40478515625,48.0092658996582,0.18640348315238953,961.849853515625,46.57763671875,0.2301773726940155,976.1080322265625,39.41950607299805,0.1705026924610138,953.294921875,36.556251525878906,0.19732846319675446,984.6629638671875,60.89390182495117,0.17725205421447754,937.61083984375,56.599021911621094,0.13743357360363007,991.7921142578125,93.82130432128906,0.12840047478675842,920.5009155273438,89.52642059326172,0.18105743825435638,991.7921142578125,106.70594787597656,0.05853834003210068,927.630126953125,119.59056854248047,0.09619037061929703,973.2564086914062,142.49659729003906,0.08453290164470673,941.8883056640625,141.06495666503906,0.07030674070119858,971.83056640625,195.46678161621094,0.12370359897613525,939.0366821289062,198.33001708984375,0.0973774790763855,968.9789428710938,232.68902587890625,0.14073546230793,936.1849975585938,236.9839324951172,0.10858587175607681;1054.93798828125,54.44078826904297,0.17242100834846497,1060.66748046875,51.562217712402344,0.1713961362838745,1053.505615234375,48.68363952636719,0.22944939136505127,1072.1263427734375,53.001502990722656,0.14605286717414856,1050.6409912109375,51.562217712402344,0.25022900104522705,1079.2882080078125,78.90867614746094,0.1351751983165741,1039.18212890625,74.5908203125,0.13096193969249725,1077.8558349609375,107.69442749023438,0.039208050817251205,1030.587890625,110.57300567626953,0.13013851642608643,1067.8292236328125,129.2837371826172,0.02853226475417614,1042.0467529296875,142.23731994628906,0.08129704743623734,1063.5322265625,137.91946411132812,0.06734439730644226,1037.749755859375,139.35874938964844,0.06658685207366943,1057.802734375,189.7338104248047,0.15198510885238647,1040.6143798828125,189.7338104248047,0.17166294157505035,1054.93798828125,234.35174560546875,0.12129008769989014,1037.749755859375,219.9588623046875,0.09326905012130737;907.6671142578125,3.0937068462371826,0.07273596525192261,910.5289306640625,3.0937068462371826,0.09898994863033295,907.6671142578125,3.0937068462371826,0.0776873528957367,913.3907470703125,3.0937068462371826,0.0857769325375557,900.5125122070312,3.0937068462371826,0.0630069300532341,914.8217163085938,10.225434303283691,0.0631406232714653,896.2197265625,11.65178108215332,0.0735599547624588,930.561767578125,20.209854125976562,0.0565904937684536,887.63427734375,30.194272994995117,0.09182905405759811,879.0487670898438,47.310420989990234,0.09449370205402374,879.0487670898438,47.310420989990234,0.1170453205704689,916.2525634765625,53.015804290771484,0.03222600743174553,900.5125122070312,50.163108825683594,0.06778433918952942,909.0979614257812,87.24810028076172,0.07270508259534836,910.5289306640625,87.24810028076172,0.07062254101037979,901.943359375,117.20136260986328,0.02120577171444893,911.9597778320312,115.77500915527344,0.025921395048499107
2_1055.0992431640625,52.90245819091797,0.135118305683136,1060.7869873046875,50.038673400878906,0.13970617949962616,1053.6773681640625,47.174888610839844,0.1756390482187271,1072.162353515625,52.90245819091797,0.13195212185382843,1050.8336181640625,50.038673400878906,0.19341260194778442,1079.2718505859375,77.24461364746094,0.13295572996139526,1039.458251953125,72.94893646240234,0.11716664582490921,1077.8499755859375,105.88243103027344,0.05275069549679756,1028.0828857421875,105.88243103027344,0.13795562088489532,1066.474609375,130.22459411621094,0.04937749356031418,1040.880126953125,137.38404846191406,0.047200337052345276,1063.630859375,137.38404846191406,0.07189351320266724,1036.6143798828125,137.38404846191406,0.06531353294849396,1056.5211181640625,188.93215942382812,0.1635090708732605,1040.880126953125,186.06837463378906,0.16550643742084503,1055.0992431640625,233.32078552246094,0.11482344567775726,1038.0362548828125,219.00186157226562,0.12164250016212463;966.920654296875,53.29884338378906,0.1688038557767868,971.2373046875,48.98177719116211,0.18799251317977905,961.1651000976562,47.542755126953125,0.20827530324459076,975.5538940429688,41.78666305541992,0.15368373692035675,952.5317993164062,37.4695930480957,0.21682250499725342,984.1873168945312,59.054931640625,0.1754264533519745,936.7040405273438,56.17688751220703,0.11811570823192596,992.820556640625,93.59147644042969,0.12991182506084442,920.876220703125,90.71342468261719,0.20106416940689087,991.3817138671875,107.98170471191406,0.05322780832648277,928.0706787109375,120.93289947509766,0.11132965981960297,972.6762084960938,142.5182342529297,0.08137620240449905,941.0206909179688,141.07920837402344,0.07013958692550659,971.2373046875,195.76205444335938,0.12015033513307571,938.1428833007812,197.20108032226562,0.09240609407424927,968.3594970703125,234.6156768798828,0.13590377569198608,933.8262329101562,236.05467224121094,0.09538551419973373;907.05224609375,3.331759214401245,0.059954684227705,911.2754516601562,3.331759214401245,0.07758259028196335,907.05224609375,3.331759214401245,0.06196378916501999,914.0908813476562,3.331759214401245,0.07946942001581192,914.0908813476562,3.331759214401245,0.048517290502786636,915.4986572265625,10.493156433105469,0.050159379839897156,897.1981201171875,10.493156433105469,0.042828548699617386,930.9837036132812,20.51911163330078,0.056891389191150665,887.343994140625,29.1127872467041,0.08002319931983948,878.8976440429688,47.732421875,0.0949503630399704,878.8976440429688,47.732421875,0.10038131475448608,901.42138671875,49.16469955444336,0.03016101010143757,901.42138671875,50.596981048583984,0.056663285940885544,909.8677368164062,87.83624267578125,0.06835812330245972,911.2754516601562,87.83624267578125,0.0668281763792038,904.2367553710938,116.48182678222656,0.037399355322122574,911.2754516601562,115.049560546875,0.025266900658607483
3_1054.3892822265625,50.2209358215332,0.15233375132083893,1060.081787109375,47.34387969970703,0.14710436761379242,1052.9661865234375,44.466819763183594,0.18863871693611145,1071.466796875,50.2209358215332,0.13482587039470673,1050.119873046875,47.34387969970703,0.17462262511253357,1080.0054931640625,76.11444854736328,0.15126299858093262,1038.7349853515625,70.3603286743164,0.14910703897476196,1078.582275390625,103.44648742675781,0.0924576073884964,1027.3499755859375,103.44648742675781,0.1365736722946167,1068.6204833984375,127.90147399902344,0.06800791621208191,1040.1580810546875,135.0941162109375,0.02665800042450428,1062.927978515625,136.5326385498047,0.07259541004896164,1037.311767578125,136.5326385498047,0.0710715502500534,1058.65869140625,186.88113403320312,0.1539301723241806,1041.5811767578125,185.44261169433594,0.1575465053319931,1054.3892822265625,232.91403198242188,0.11482018232345581,1040.1580810546875,219.96730041503906,0.13058362901210785;965.8755493164062,51.20811080932617,0.1852128505706787,970.1777954101562,46.894317626953125,0.18853254616260529,961.5733642578125,46.894317626953125,0.25378137826919556,975.9140014648438,39.70466995239258,0.15418344736099243,952.968994140625,36.82881164550781,0.20220868289470673,983.0843505859375,59.835693359375,0.18692347407341003,937.1942138671875,55.52190399169922,0.1417313814163208,993.122802734375,95.78395080566406,0.1363493651151657,921.4195556640625,90.0322265625,0.2006051242351532,991.6887817382812,107.28738403320312,0.048982053995132446,928.58984375,120.22876739501953,0.10246294736862183,973.0459594726562,141.79771423339844,0.08506963402032852,941.4963989257812,140.3597869873047,0.06987608969211578,971.61181640625,193.56320190429688,0.1292022317647934,938.6283569335938,195.00112915039062,0.0861266553401947,968.7437133789062,233.8252410888672,0.15068839490413666,935.7601928710938,236.70111083984375,0.1085115522146225;907.1752319335938,3.6245346069335938,0.04300842061638832,933.09423828125,26.63665771484375,0.03657210245728493,907.1752319335938,3.6245346069335938,0.022931186482310295,914.375,3.6245346069335938,0.043467044830322266,914.375,3.6245346069335938,0.044270411133766174,915.81494140625,9.377565383911133,0.03071320243179798,897.0956420898438,10.815823554992676,0.019495472311973572,931.654296875,20.88362693786621,0.04650428891181946,887.0159912109375,30.951431274414062,0.05201345309615135,878.3762817382812,48.21052551269531,0.0992937758564949,878.3762817382812,48.21052551269531,0.11001487821340561,902.8554077148438,49.64877700805664,0.03322939574718475,901.4154663085938,49.64877700805664,0.03726695105433464,911.4951171875,87.0434799194336,0.06183139607310295,911.4951171875,87.0434799194336,0.06291837245225906,907.1752319335938,117.24688720703125,0.044645439833402634,908.615234375,117.24688720703125,0.03340635076165199
4_1051.6092529296875,48.864376068115234,0.22337065637111664,1057.3087158203125,44.54844665527344,0.23869533836841583,1050.184326171875,44.54844665527344,0.32288482785224915,1070.132568359375,48.864376068115234,0.21137210726737976,1048.7593994140625,45.987091064453125,0.1478612720966339,1078.6817626953125,74.75994873046875,0.1577029675245285,1038.7852783203125,69.00537872314453,0.18512068688869476,1078.6817626953125,104.97145080566406,0.11120040714740753,1025.9615478515625,102.09416198730469,0.16137583553791046,1068.7076416015625,126.55108642578125,0.09694964438676834,1028.8111572265625,126.55108642578125,0.0542132630944252,1063.0081787109375,135.18295288085938,0.07140570133924484,1038.7852783203125,132.3056640625,0.08185553550720215,1058.7335205078125,185.5354461669922,0.16315792500972748,1041.6351318359375,185.5354461669922,0.15158310532569885,1054.458984375,234.44931030273438,0.13420315086841583,1040.210205078125,221.50152587890625,0.1289767026901245;966.2806396484375,53.77805709838867,0.18564653396606445,970.5620727539062,49.46635818481445,0.22579291462898254,960.572021484375,48.029117584228516,0.23708342015743256,974.843505859375,40.842952728271484,0.1628286987543106,952.0091552734375,36.53125,0.19075849652290344,983.4063720703125,59.52699279785156,0.17158955335617065,936.310546875,56.652523040771484,0.12903964519500732,991.9692993164062,94.0206069946289,0.13296981155872345,920.6118774414062,89.70890808105469,0.19639120995998383,990.5421142578125,106.9557113647461,0.05323885753750801,927.74755859375,121.32804870605469,0.10401267558336258,971.9892578125,141.44932556152344,0.08151603490114212,940.5919799804688,141.44932556152344,0.07055786997079849,971.9892578125,194.62698364257812,0.11533620208501816,937.7377319335938,196.06422424316406,0.09976498037576675,967.7078247070312,233.43228149414062,0.1232404112815857,934.8833618164062,236.30674743652344,0.09324496984481812;907.7601928710938,3.943958044052124,0.03423868864774704,931.6945190429688,25.505008697509766,0.04842808470129967,931.6945190429688,25.505008697509766,0.024097714573144913,914.7997436523438,3.943958044052124,0.038866981863975525,913.3917846679688,3.943958044052124,0.046907514333724976,916.2076416015625,11.130974769592285,0.021306674927473068,914.7997436523438,8.256168365478516,0.02041986957192421,889.4575805664062,26.942411422729492,0.035181593149900436,888.0496826171875,28.37981605529785,0.04530978947877884,879.6023559570312,47.06605911254883,0.09686475992202759,878.1945190429688,48.50346374511719,0.10365062206983566,902.1287231445312,48.50346374511719,0.023419946432113647,902.1287231445312,49.94086837768555,0.02527257241308689,911.9839477539062,87.3133544921875,0.05067458748817444,913.3917846679688,88.7507553100586,0.0505252368748188,909.1681518554688,116.0614242553711,0.045182570815086365,909.1681518554688,116.0614242553711,0.028358053416013718
5_1052.866943359375,48.17494201660156,0.20833121240139008,1057.134033203125,43.873722076416016,0.22328171133995056,1050.022216796875,42.43998336791992,0.2895696461200714,1069.93505859375,48.17494201660156,0.22933532297611237,1050.022216796875,46.74120330810547,0.14805655181407928,1078.4691162109375,73.98226165771484,0.15008002519607544,1038.6435546875,68.24729919433594,0.1799101084470749,1078.4691162109375,105.52452850341797,0.1088397204875946,1024.4200439453125,101.22330474853516,0.15614446997642517,1068.5126953125,127.03063201904297,0.0753529742360115,1030.109375,127.03063201904297,0.05498489364981651,1062.8233642578125,134.19932556152344,0.07489942759275436,1038.6435546875,134.19932556152344,0.08485082536935806,1058.556396484375,188.6814422607422,0.17709724605083466,1044.3328857421875,185.81396484375,0.17422334849834442,1055.711669921875,231.69363403320312,0.1357307732105255,1041.4881591796875,223.09120178222656,0.14171265065670013;964.9833984375,53.35280990600586,0.15956151485443115,969.2600708007812,49.043609619140625,0.18262024223804474,960.7067260742188,47.60721206665039,0.23750294744968414,974.9622802734375,40.42520523071289,0.16485506296157837,952.1533203125,36.116004943847656,0.20606334507465363,983.515625,59.098411560058594,0.1765257716178894,936.4722290039062,56.22561264038086,0.129799947142601,992.0690307617188,95.00841522216797,0.1262792944908142,920.7909545898438,89.2628173828125,0.1761649250984192,990.6434936523438,106.49962615966797,0.03728598356246948,927.9188232421875,120.8636245727539,0.09738396853208542,972.1112060546875,142.4096221923828,0.08475471287965775,940.7489013671875,140.9732208251953,0.07428467273712158,970.6856079101562,195.55642700195312,0.11240469664335251,936.4722290039062,196.99282836914062,0.09066880494356155,969.2600708007812,234.33926391601562,0.12270889431238174,933.6210327148438,237.21206665039062,0.09384994208812714;926.939208984375,27.945056915283203,0.020027104765176773,931.1912841796875,26.513816833496094,0.06880399584770203,928.3565673828125,26.513816833496094,0.039737023413181305,902.8439331054688,3.614015579223633,0.034907903522253036,914.182861328125,3.614015579223633,0.029352575540542603,898.591796875,9.338966369628906,0.016971668228507042,915.6002807617188,7.907728672027588,0.010630806908011436,890.0875854492188,25.082578659057617,0.02754334919154644,887.2528076171875,30.807533264160156,0.04356001690030098,878.7485961914062,47.982383728027344,0.10650026053190231,877.331298828125,47.982383728027344,0.09313805401325226,904.2612915039062,53.70733642578125,0.019710879772901535,902.8439331054688,55.13856887817383,0.018102742731571198,912.7655029296875,88.05703735351562,0.052010584622621536,914.182861328125,88.05703735351562,0.05432930961251259,909.9307861328125,116.68179321289062,0.02572445757687092,911.3480834960938,116.68179321289062,0.021832309663295746
6_1051.043212890625,47.244327545166016,0.20821908116340637,1055.2923583984375,42.93648147583008,0.2349875420331955,1049.626708984375,42.93648147583008,0.31473273038864136,1069.4564208984375,47.244327545166016,0.23289594054222107,1048.2103271484375,45.808380126953125,0.12798354029655457,1077.954833984375,74.5273666381836,0.15209931135177612,1039.7119140625,67.34761810302734,0.17140714824199677,1077.954833984375,106.11824035644531,0.11456774175167084,1024.1314697265625,101.81039428710938,0.15309832990169525,1068.0400390625,126.2215347290039,0.058591488748788834,1031.2135009765625,126.2215347290039,0.06851965934038162,1062.3743896484375,134.83721923828125,0.07903040945529938,1038.2955322265625,133.40127563476562,0.07833075523376465,1059.5416259765625,187.9673309326172,0.15875889360904694,1046.7939453125,186.5313720703125,0.18005675077438354,1055.2923583984375,235.35365295410156,0.1411304622888565,1043.9610595703125,223.8660888671875,0.13565872609615326;966.08154296875,54.10768508911133,0.1660344898700714,970.3993530273438,48.358150482177734,0.19125698506832123,960.3244018554688,48.358150482177734,0.21549329161643982,974.7171020507812,41.17122268676758,0.1569449007511139,953.1280517578125,36.85906982421875,0.20023402571678162,983.3527221679688,58.41983413696289,0.18560639023780823,935.8567504882812,55.54507064819336,0.120900459587574,991.9884033203125,94.35445404052734,0.13120630383491516,920.0247192382812,88.60491943359375,0.1627047210931778,991.9884033203125,104.41615295410156,0.0443669930100441,925.78173828125,118.78999328613281,0.08180096745491028,971.8385620117188,141.78814697265625,0.0839763954281807,941.61376953125,141.78814697265625,0.07517614960670471,971.8385620117188,196.40875244140625,0.11749093234539032,937.2960205078125,197.84616088867188,0.10287459194660187,968.9600219726562,233.78076171875,0.13454493880271912,934.4174194335938,236.65553283691406,0.0944160521030426;907.7012939453125,3.7967023849487305,0.026776760816574097,933.2017822265625,26.58403205871582,0.04995381832122803,933.2017822265625,26.58403205871582,0.03231007233262062,902.0345458984375,3.7967023849487305,0.08284848183393478,914.7847900390625,3.7967023849487305,0.07542134076356888,897.7844848632812,9.493534088134766,0.05257200077176094,914.7847900390625,9.493534088134766,0.03381066769361496,889.284423828125,26.58403205871582,0.062079962342977524,887.86767578125,29.432445526123047,0.03296178951859474,879.3674926757812,46.52294158935547,0.1053953766822815,877.9508666992188,47.94715118408203,0.0961679145693779,902.0345458984375,50.79556655883789,0.03137028589844704,917.6181030273438,47.94715118408203,0.01244604866951704,913.3680419921875,87.8249740600586,0.04666532576084137,914.7847900390625,87.8249740600586,0.05826692283153534,911.9513549804688,119.15754699707031,0.028819434344768524,913.3680419921875,119.15754699707031,0.022600293159484863
7_1049.6573486328125,49.07135772705078,0.19026322662830353,1055.34375,43.320770263671875,0.19357676804065704,1048.2357177734375,43.320770263671875,0.3116186857223511,1068.138427734375,46.196067810058594,0.24895882606506348,1046.8140869140625,43.320770263671875,0.1543041318655014,1078.0897216796875,73.51136779785156,0.14114713668823242,1039.7059326171875,67.76077270507812,0.16130268573760986,1078.0897216796875,105.13960266113281,0.09529609233140945,1024.068115234375,100.82666778564453,0.16771870851516724,1066.716796875,126.70431518554688,0.08416464179754257,1031.17626953125,126.70431518554688,0.0846535712480545,1062.4517822265625,135.3302001953125,0.0819425955414772,1038.2843017578125,133.89254760742188,0.0776451826095581,1058.18701171875,187.08551025390625,0.18577516078948975,1046.8140869140625,185.64785766601562,0.20175044238567352,1055.34375,233.09022521972656,0.163080096244812,1043.9708251953125,230.21493530273438,0.15078389644622803;964.7400512695312,53.5739860534668,0.16395920515060425,969.0049438476562,49.268836975097656,0.19645120203495026,960.4751586914062,47.83379364013672,0.23274126648902893,974.6915283203125,40.6585578918457,0.1591656357049942,951.9453735351562,36.353416442871094,0.19089265167713165,983.2213134765625,59.314178466796875,0.17520205676555634,936.307373046875,56.44407653808594,0.12395749241113663,993.1727294921875,96.62539672851562,0.13009411096572876,919.2477416992188,90.88521575927734,0.16852761805057526,991.7510986328125,105.23568725585938,0.04037721827626228,927.7775268554688,121.02120971679688,0.08606057614088058,971.8482055664062,142.5469207763672,0.08480113744735718,940.572265625,142.5469207763672,0.07218323647975922,970.4265747070312,197.07872009277344,0.11746461689472198,936.307373046875,198.51377868652344,0.09298678487539291,967.5833129882812,234.3899383544922,0.12711882591247559,934.8857421875,237.2600555419922,0.0864446610212326;908.9840698242188,3.221966505050659,0.0569831058382988,933.1727294921875,26.228225708007812,0.036856263875961304,933.1727294921875,26.228225708007812,0.021681906655430794,901.86962890625,3.221966505050659,0.062400173395872116,914.6754760742188,3.221966505050659,0.07502643018960953,897.6010131835938,10.411421775817871,0.04079053923487663,916.098388671875,10.411421775817871,0.022463122382760048,889.0638427734375,26.228225708007812,0.037109289318323135,887.6409912109375,29.104005813598633,0.05935605615377426,879.103759765625,47.796592712402344,0.09882541745901108,879.103759765625,47.796592712402344,0.09012679010629654,903.29248046875,50.6723747253418,0.0191107839345932,901.86962890625,50.6723747253418,0.017370080575346947,916.098388671875,88.05754852294922,0.03390016034245491,914.6754760742188,88.05754852294922,0.055073339492082596,914.6754760742188,116.81536865234375,0.019900592043995857,923.2127075195312,118.25325775146484,0.027209602296352386
8_1048.992431640625,48.470550537109375,0.17722757160663605,1053.3118896484375,42.72871398925781,0.19968247413635254,1047.5526123046875,42.72871398925781,0.27045878767967224,1067.71044921875,47.035091400146484,0.2480212301015854,1046.1126708984375,42.72871398925781,0.10178102552890778,1077.78955078125,72.87334442138672,0.1412082314491272,1038.9134521484375,67.13150787353516,0.15802794694900513,1077.78955078125,105.8888931274414,0.08174938708543777,1023.0750732421875,100.14706420898438,0.14446522295475006,1069.150390625,123.11438751220703,0.0660439282655716,1030.2742919921875,125.98530578613281,0.09799878299236298,1061.9510498046875,133.16259765625,0.08253571391105652,1038.9134521484375,131.72714233398438,0.07722824811935425,1059.0712890625,186.27456665039062,0.16907398402690887,1046.1126708984375,186.27456665039062,0.19232648611068726,1054.7518310546875,233.64468383789062,0.15114906430244446,1044.6728515625,232.20924377441406,0.12109854817390442;965.6049194335938,54.3620719909668,0.1711915135383606,969.9180908203125,50.06511688232422,0.21030700206756592,961.2916870117188,48.63279724121094,0.22061768174171448,975.6690673828125,41.4712028503418,0.1512368619441986,952.665283203125,37.17424392700195,0.2078203409910202,982.8577880859375,58.65903091430664,0.1783071756362915,936.8500366210938,55.794395446777344,0.11819569766521454,992.9219970703125,95.89933013916016,0.12678547203540802,919.5971069335938,91.60237884521484,0.1753281205892563,978.5446166992188,114.51947784423828,0.031139593571424484,928.2236328125,120.24876403808594,0.08738246560096741,971.3558349609375,143.16586303710938,0.08089184015989304,941.163330078125,141.73355102539062,0.06900236010551453,971.3558349609375,197.593994140625,0.12003187090158463,936.8500366210938,199.02630615234375,0.1010003462433815,968.4804077148438,234.83428955078125,0.13335567712783813,935.412353515625,237.6989288330078,0.0808040127158165;912.0588989257812,3.5706193447113037,0.02951394021511078,931.8770751953125,25.01034164428711,0.04150397703051567,931.8770751953125,26.43965721130371,0.025359798222780228,902.1497802734375,3.5706193447113037,0.05294046923518181,914.8900756835938,3.5706193447113037,0.07986537367105484,897.9030151367188,9.28787899017334,0.03828927502036095,914.8900756835938,9.28787899017334,0.027814390137791634,889.4094848632812,25.01034164428711,0.044516485184431076,887.9939575195312,27.86897087097168,0.03500218316912651,879.5004272460938,46.45006561279297,0.0838838517665863,878.0847778320312,47.87937545776367,0.06852526217699051,902.1497802734375,47.87937545776367,0.015037240460515022,914.8900756835938,40.73280334472656,0.010170821100473404,916.3056640625,86.47087860107422,0.026246793568134308,914.8900756835938,87.90019226074219,0.04322132468223572,923.3836059570312,116.48649597167969,0.021882565692067146,923.3836059570312,116.48649597167969,0.029708655551075935
9_1046.6927490234375,48.281349182128906,0.1899816244840622,1052.3944091796875,42.52998352050781,0.19887825846672058,1045.267333984375,42.52998352050781,0.302095890045166,1066.6485595703125,46.843505859375,0.26809194684028625,1043.8419189453125,42.52998352050781,0.11047910898923874,1076.62646484375,72.72464752197266,0.1456165611743927,1038.140380859375,66.97328186035156,0.16676941514015198,1078.0518798828125,105.79498291015625,0.09531126171350479,1023.88623046875,98.60577392578125,0.1460990309715271,1068.073974609375,125.92475128173828,0.07278438657522202,1031.0133056640625,127.36259460449219,0.08829428255558014,1060.9468994140625,133.1139678955078,0.08322836458683014,1039.5657958984375,133.1139678955078,0.07916189730167389,1058.0960693359375,187.75192260742188,0.16790202260017395,1045.267333984375,187.75192260742188,0.17983774840831757,1055.2452392578125,235.20066833496094,0.15469679236412048,1045.267333984375,235.20066833496094,0.11529868096113205;965.1415405273438,54.31132888793945,0.16989322006702423,969.436767578125,50.01593780517578,0.21116408705711365,960.846435546875,48.584144592285156,0.2184823900461197,975.1636962890625,41.4251594543457,0.1604318469762802,952.2559204101562,37.12977600097656,0.2089257687330246,983.7540893554688,60.03851318359375,0.16351942718029022,936.5068969726562,55.74312210083008,0.11457487940788269,992.3445434570312,97.26520538330078,0.1381477415561676,919.3260498046875,91.53802490234375,0.18000152707099915,979.4589233398438,117.31034851074219,0.05022446811199188,927.9164428710938,118.74214935302734,0.09770748019218445,972.3001708984375,143.0826873779297,0.08098708093166351,939.3703002929688,143.0826873779297,0.0679401308298111,970.8685302734375,197.4909210205078,0.11749560385942459,936.5068969726562,200.35450744628906,0.1087488979101181,968.0050659179688,234.71762084960938,0.13476380705833435,935.0751953125,239.01300048828125,0.09287568181753159;908.9385986328125,3.249577760696411,0.06826948374509811,913.2255859375,3.249577760696411,0.10411268472671509,907.5095825195312,3.249577760696411,0.07528162747621536,916.0836181640625,3.249577760696411,0.09456758201122284,914.6546020507812,3.249577760696411,0.05471128970384598,917.5126342773438,13.3143949508667,0.03429543599486351,897.5065307617188,13.3143949508667,0.027757706120610237,930.3735961914062,21.94137954711914,0.03814646974205971,887.5035400390625,29.13053321838379,0.06325376778841019,878.9295043945312,47.82233428955078,0.07000461220741272,878.9295043945312,47.82233428955078,0.09311835467815399,901.7935791015625,52.135826110839844,0.0206595566123724,901.7935791015625,52.135826110839844,0.03337424248456955,916.0836181640625,85.20594024658203,0.025287846103310585,916.0836181640625,88.08159637451172,0.04373268410563469,924.6576538085938,121.15171813964844,0.019854528829455376,923.2285766601562,116.83821868896484,0.029525281861424446
10_1042.3287353515625,46.456417083740234,0.19867250323295593,1048.069580078125,42.138118743896484,0.19902534782886505,1042.3287353515625,42.138118743896484,0.3045445680618286,1063.8568115234375,45.01698303222656,0.218735933303833,1042.3287353515625,42.138118743896484,0.08247341215610504,1076.7735595703125,72.36619567871094,0.14982779324054718,1036.587890625,66.60846710205078,0.15991252660751343,1078.208740234375,106.9125747680664,0.10842670500278473,1022.2359619140625,98.27598571777344,0.1712484508752823,1066.7271728515625,128.50405883789062,0.09490915387868881,1029.4119873046875,122.74633026123047,0.0945623368024826,1062.421630859375,135.7012176513672,0.07935570925474167,1039.4583740234375,137.14065551757812,0.08322533965110779,1058.115966796875,188.96023559570312,0.16579727828502655,1043.7640380859375,188.96023559570312,0.21976563334465027,1055.24560546875,236.4615020751953,0.16111105680465698,1043.7640380859375,237.9009246826172,0.12479662895202637;965.4325561523438,53.46250534057617,0.1580907255411148,969.7435302734375,50.59351348876953,0.1613200157880783,961.1216430664062,47.72452163696289,0.19416159391403198,974.0543823242188,41.986541748046875,0.14105872809886932,952.4998168945312,39.117549896240234,0.2061566859483719,982.67626953125,60.634986877441406,0.18582864105701447,936.693115234375,56.33149719238281,0.13190767168998718,991.298095703125,96.49738311767578,0.1536509245634079,919.4494018554688,89.32489776611328,0.1920265406370163,978.3653564453125,118.01480865478516,0.05213480070233345,928.0712890625,119.44931030273438,0.08808550238609314,971.180419921875,145.27023315429688,0.07885905355215073,939.5670776367188,140.9667510986328,0.06827082484960556,971.180419921875,196.91209411621094,0.11945156008005142,935.256103515625,199.78106689453125,0.0953209176659584,968.3065185546875,235.6434783935547,0.13774791359901428,933.8191528320312,238.51246643066406,0.08762973546981812;909.9874877929688,3.613292932510376,0.09931262582540512,911.4141845703125,3.613292932510376,0.11859071254730225,907.1339111328125,3.613292932510376,0.11214441806077957,915.6945190429688,3.613292932510376,0.09992178529500961,902.8536376953125,3.613292932510376,0.09330053627490997,918.5480346679688,13.56446647644043,0.040518902242183685,897.1466064453125,12.14286994934082,0.04666009172797203,928.5354614257812,23.515642166137695,0.03729970008134842,887.1593017578125,32.04521942138672,0.0666608065366745,878.5986328125,46.26118469238281,0.08163510262966156,878.5986328125,46.26118469238281,0.10376591980457306,901.4268798828125,53.369163513183594,0.01613873988389969,901.4268798828125,53.369163513183594,0.022011231631040573,918.5480346679688,86.06587982177734,0.025025079026818275,915.6945190429688,86.06587982177734,0.044740598648786545,911.4141845703125,108.81140899658203,0.0367882177233696,911.4141845703125,108.81140899658203,0.05015706643462181
