1_880.57,32.991,0.87039,880.41,53.5114,0.922544,859.89,56.2562,0.8788,856.844,79.867,0.831523,857.037,103.614,0.821874,895.231,53.4551,0.867588,906.891,77.0544,0.902035,903.897,103.386,0.796318,880.458,103.633,0.941422,865.785,103.606,0.897984,871.733,150.739,0.846997,877.493,197.67,0.770635,886.439,103.629,0.904613,883.612,153.441,0.943314,883.501,197.817,0.896902,877.634,32.7885,0.820078,883.361,32.752,0.805969,868.705,32.8465,0.701624,883.611,32.6984,0.371605,883.497,215.357,0.706383,889.391,209.521,0.681072,883.51,203.592,0.645244,877.483,209.452,0.539892,868.816,206.507,0.536282,877.528,200.654,0.568228;974.633,50.5862,0.274881,971.644,59.2342,0.914211,948.253,59.2673,0.868692,930.53,82.9819,0.897751,945.225,106.481,0.664227,989.468,56.5286,0.846429,1004.16,83.0612,0.820804,1007.1,115.296,0.563195,974.638,126.938,0.915455,957.124,126.94,0.85786,957.045,174.034,0.857815,954.194,218.252,0.881227,980.654,126.947,0.857444,980.636,174.052,0.850667,977.643,212.399,0.83894,971.759,44.678,0.239998,974.781,44.6735,0.228243,957.145,38.8842,0.273498,977.707,41.7575,0.172858,980.631,224.116,0.757963,989.375,221.293,0.764447,977.539,215.383,0.68733,954.201,224.303,0.796869,951.196,224.114,0.794119,954.257,221.2,0.780734;1069.01,115.304,0.787741,1066,127.081,0.795004,1048.39,127.101,0.863497,1045.2,150.462,0.732955,1048.2,171.149,0.598018,1074.76,127.128,0.711497,1074.82,150.645,0.237156,1074.82,162.318,0.127979,1057.12,171.186,0.629864,1048.28,171.191,0.723523,1045.31,200.542,0.718287,1039.42,227.24,0.613104,1068.8,171.217,0.62351,1068.89,197.797,0.473852,1048.39,227.12,0.297789,1068.84,109.437,0.798224,1071.81,109.425,0.747519,1063.03,109.416,0.602609,1074.84,112.295,0.291457,0,0,0,0,0,0,1048.35,227.197,0.236665,1042.44,244.667,0.510282,1036.52,241.738,0.48363,1036.55,235.982,0.538745
2_880.571,32.9669,0.853442,880.414,53.4556,0.915898,859.915,53.512,0.876425,856.883,77.0405,0.787779,857.068,103.445,0.753527,895.207,53.4131,0.85651,906.89,76.9756,0.877429,903.916,100.513,0.752169,880.455,103.562,0.933207,865.823,103.539,0.885943,874.615,150.656,0.826791,877.593,197.642,0.746697,886.404,103.559,0.90002,883.621,150.684,0.935714,883.534,197.77,0.863002,877.633,32.7648,0.795255,883.348,32.7305,0.7619,868.708,32.8182,0.685418,883.599,29.9521,0.318926,883.522,212.452,0.650427,889.405,209.442,0.635152,883.528,203.568,0.612688,877.587,206.584,0.504545,874.607,206.486,0.499725,877.609,200.631,0.54038;974.569,53.3962,0.294258,968.875,59.283,0.90523,948.23,59.3356,0.832194,930.527,82.9868,0.856574,945.24,106.458,0.634747,989.445,59.233,0.830504,1004.15,85.8668,0.790528,1004.21,118.254,0.561363,974.566,126.967,0.904892,957.067,126.959,0.846131,954.223,174.033,0.870459,954.232,218.337,0.877067,977.814,126.992,0.873903,977.823,174.037,0.841649,977.75,212.395,0.816398,971.673,47.5526,0.257913,974.725,47.5627,0.246303,957.125,41.7059,0.278503,977.633,44.6352,0.197161,980.635,224.084,0.75063,989.392,221.286,0.75907,977.643,215.36,0.68683,954.116,227.091,0.756428,951.177,224.204,0.744792,957.062,221.274,0.769189;1068.99,115.289,0.791737,1068.78,127.053,0.824747,1048.43,127.079,0.848806,1045.21,147.698,0.725951,1045.39,168.221,0.599107,1077.72,127.074,0.715641,1080.72,150.564,0.271518,1080.7,159.419,0.166751,1063.06,171.097,0.655994,1048.45,171.091,0.705873,1045.41,197.78,0.73962,1042.38,230.093,0.663198,1071.73,171.099,0.649437,1071.91,197.647,0.520231,1080.63,227.145,0.297757,1068.81,109.428,0.791562,1071.81,109.399,0.773633,1063,109.427,0.562616,1074.83,109.476,0.375567,1071.94,238.93,0.247718,1074.84,235.987,0.217182,0,0,0,1045.3,244.737,0.56859,1039.44,241.798,0.538934,1042.32,238.856,0.570252
3_971.836,53.3924,0.287347,968.826,59.2299,0.92135,948.157,59.2514,0.889977,930.455,82.9603,0.919006,942.287,106.405,0.698615,989.482,56.5414,0.887201,1004.15,85.8174,0.869824,1004.22,118.276,0.704674,974.571,126.947,0.932764,954.275,126.932,0.889148,954.261,174.028,0.892546,954.225,221.074,0.911185,980.617,126.953,0.903274,980.615,174.029,0.874377,980.606,215.354,0.873353,971.654,47.5388,0.252502,974.723,44.7287,0.242826,957.05,38.8624,0.282348,977.715,44.6103,0.196301,989.414,224.212,0.824542,998.113,221.368,0.865552,977.752,218.336,0.752262,957.028,227.073,0.81582,951.251,224.19,0.82539,957.044,221.276,0.825604;880.481,35.7027,0.85487,880.387,53.5186,0.923291,859.84,56.2837,0.893235,856.821,79.8425,0.79599,856.913,103.565,0.808269,895.23,53.4388,0.867575,906.887,77.0136,0.886032,901.169,100.474,0.771568,880.398,106.332,0.934609,862.964,103.649,0.904179,871.709,153.448,0.83504,877.52,197.718,0.76911,886.36,106.344,0.910591,883.652,153.458,0.931793,883.627,200.565,0.888221,877.516,32.8583,0.799614,880.649,32.8209,0.816188,865.796,32.8725,0.669513,883.513,32.7496,0.436573,883.562,215.36,0.714394,892.334,209.518,0.684095,886.383,203.607,0.651945,874.676,206.596,0.528883,871.683,206.507,0.527245,877.579,200.673,0.568085;1071.69,115.295,0.73796,1068.73,127.004,0.765841,1048.46,127.068,0.819069,1045.26,147.613,0.706911,1045.46,168.198,0.590777,1072,127.008,0.686704,1074.82,150.472,0.242145,1077.73,153.566,0.152077,1060.1,165.367,0.577943,1048.42,168.211,0.651283,1048.24,197.728,0.699371,1045.17,230.126,0.617977,1068.86,165.333,0.570358,1068.93,197.599,0.456541,1048.41,224.292,0.27468,1068.91,109.437,0.750283,1071.83,109.432,0.660272,1065.87,109.403,0.584275,1074.78,109.5,0.23145,0,0,0,0,0,0,1057.12,227.121,0.209886,1048.21,244.742,0.490004,1045.25,241.871,0.488115,1042.39,238.89,0.515594
4_880.497,35.7344,0.751895,877.596,56.2513,0.916211,857.068,56.3186,0.904563,854.026,79.9585,0.786407,856.892,103.613,0.801648,892.298,53.4373,0.85432,906.997,77.0776,0.894584,903.959,100.486,0.759229,880.396,106.449,0.938764,862.946,106.436,0.90374,874.614,153.602,0.854405,880.345,200.599,0.824408,883.647,106.458,0.907822,886.373,153.539,0.93099,883.601,200.599,0.890199,877.529,32.891,0.68862,880.64,32.8646,0.670325,862.999,32.8437,0.641685,883.502,32.6895,0.308304,886.436,215.375,0.665177,898.166,209.503,0.641327,883.585,203.649,0.616649,880.533,215.327,0.61846,877.524,212.402,0.598657,880.401,203.63,0.60801;971.757,53.5363,0.198911,968.827,59.2691,0.884011,951.111,59.3329,0.689378,930.475,82.9455,0.746135,942.367,103.584,0.503444,983.508,56.5336,0.692765,1004.09,85.9108,0.684469,1004.13,124.085,0.54114,974.587,126.982,0.887293,962.933,126.984,0.760055,957.163,174.06,0.797686,957.082,218.345,0.804094,977.568,127.016,0.825211,974.785,174.117,0.806578,977.665,218.197,0.772129,968.832,50.5716,0.166158,974.623,47.6207,0.152202,960.044,44.612,0.228239,974.661,44.6424,0.19054,983.565,224.147,0.641981,989.436,224.049,0.644848,977.615,221.158,0.664484,957.086,224.297,0.623669,954.184,224.156,0.609512,959.974,221.282,0.701395;1069.03,115.277,0.749517,1068.78,126.948,0.789918,1051.18,127.011,0.805891,1045.29,147.54,0.684768,1045.4,165.286,0.58826,1074.82,126.938,0.689606,1077.78,147.604,0.244831,1080.7,153.495,0.163044,1063.04,162.403,0.598855,1051.22,162.409,0.655694,1048.38,197.698,0.650671,1045.31,230.132,0.611151,1068.99,162.339,0.586748,1071.9,194.791,0.47004,1077.7,224.238,0.277349,1068.86,109.437,0.758404,1071.81,109.417,0.70486,1065.84,109.404,0.569014,1074.8,109.477,0.288121,1071.93,238.854,0.222205,1077.74,233.053,0.190189,1068.98,227.11,0.238968,1048.23,244.701,0.518679,1045.24,241.793,0.504137,1045.28,238.852,0.504184
5_880.489,32.9531,0.690048,877.518,53.5131,0.89495,857.023,56.2813,0.886816,853.966,79.961,0.761959,856.867,103.584,0.748573,889.389,53.4037,0.857265,906.975,79.8117,0.888195,904.076,100.518,0.747695,880.411,106.444,0.939697,862.971,106.444,0.896039,874.641,153.552,0.862947,880.358,197.764,0.817958,886.368,106.441,0.904315,886.395,153.492,0.93444,883.557,197.755,0.886442,877.513,32.7361,0.612575,880.61,32.7071,0.571685,862.96,32.7412,0.6158,883.492,29.8542,0.251667,886.456,212.417,0.636069,898.155,206.491,0.636798,883.524,200.724,0.611921,880.592,212.379,0.623881,877.559,209.446,0.604919,880.376,200.744,0.623382;971.75,56.2706,0.183753,968.829,59.292,0.883008,951.079,59.3625,0.694493,930.481,82.9914,0.767223,945.303,106.422,0.566751,983.543,56.5505,0.675917,1001.39,85.92,0.665464,1004.1,124.068,0.528776,974.636,126.978,0.890953,963.003,126.983,0.755422,960.028,174.037,0.775777,957.127,218.353,0.785679,977.599,127.016,0.814084,977.587,174.074,0.784313,977.713,218.263,0.747391,968.839,53.3758,0.152231,974.637,47.6166,0.140553,960.041,44.6214,0.220205,974.668,44.6145,0.183728,986.522,224.186,0.633007,992.393,224.071,0.646762,977.645,221.225,0.63388,959.991,224.295,0.613738,957.026,224.154,0.608612,960.023,221.294,0.678373;1069,115.265,0.758667,1068.81,126.933,0.799626,1051.19,127.002,0.802558,1045.29,147.548,0.688611,1045.39,165.323,0.603381,1074.9,126.902,0.683695,1080.72,144.74,0.260395,1083.6,150.675,0.180589,1065.86,162.351,0.620757,1051.23,162.369,0.666116,1048.36,197.676,0.664858,1045.36,230.068,0.631769,1071.74,159.477,0.608796,1071.91,194.75,0.490226,1068.93,224.124,0.301842,1068.82,109.423,0.761499,1071.8,109.394,0.735723,1063.06,109.417,0.54206,1074.81,109.435,0.348752,1071.87,233.037,0.236859,1071.94,230.072,0.207448,1068.88,224.187,0.252094,1048.23,244.672,0.533449,1045.26,241.765,0.520903,1045.32,235.994,0.515338
6_880.489,32.8374,0.663393,877.519,53.4841,0.886428,857.035,56.2648,0.876198,853.919,79.9534,0.715084,854.04,103.471,0.631067,889.387,53.3764,0.859673,904.164,79.8254,0.898213,904.034,100.569,0.740791,880.401,106.457,0.931739,862.949,106.458,0.89249,874.611,153.604,0.848065,880.341,200.593,0.830573,886.387,106.463,0.898178,886.444,153.538,0.913082,883.625,197.798,0.870485,877.505,29.9168,0.585007,880.599,29.8673,0.541995,862.951,29.9783,0.610181,883.448,26.9656,0.228058,889.339,212.429,0.655196,901.034,206.497,0.658379,883.617,200.743,0.596485,880.562,215.349,0.64369,877.547,212.41,0.61825,880.38,203.638,0.624371;971.828,56.4478,0.347912,968.812,59.3692,0.896408,948.177,59.4109,0.863021,930.483,83.0068,0.893144,945.222,106.481,0.727877,992.317,59.3215,0.865099,1004.15,88.7734,0.811035,1004.23,124.123,0.704022,974.606,127.083,0.937493,957.02,127.074,0.89058,957.017,174.219,0.885026,954.284,221.161,0.891609,980.655,127.094,0.890494,980.706,174.177,0.848503,986.45,221.093,0.85121,968.811,56.2511,0.311049,974.694,56.2623,0.301447,954.27,50.554,0.312945,977.695,47.6311,0.211006,995.217,227.1,0.780983,998.247,224.194,0.844946,983.526,221.33,0.724359,957.056,227.146,0.743626,951.283,224.239,0.74699,957.113,221.359,0.774003;1071.7,115.279,0.714948,1068.78,126.982,0.752784,1048.49,127.074,0.783532,1045.32,147.616,0.683986,1045.45,168.23,0.567617,1074.81,126.96,0.6502,1077.7,147.64,0.241184,1080.66,153.458,0.16156,1063.05,162.39,0.557735,1051.23,162.418,0.604125,1048.3,197.67,0.627207,1045.39,230.096,0.582918,1068.98,162.329,0.547147,1071.91,194.749,0.437608,1071.84,224.098,0.257749,1068.92,109.434,0.723343,1071.86,109.425,0.661991,1065.89,109.425,0.5625,1074.81,109.5,0.25819,1071.91,235.986,0.188254,1074.81,233.013,0.164868,1068.89,224.195,0.224305,1048.3,244.712,0.470691,1045.35,241.792,0.482741,1045.39,238.845,0.465687
7_880.465,32.7783,0.561538,874.637,53.4159,0.867611,856.948,53.4928,0.859751,851.029,79.9248,0.72315,853.954,103.466,0.649972,886.507,50.4958,0.856218,904.183,77.0415,0.881114,903.95,97.6454,0.717453,877.64,106.434,0.927331,862.892,106.442,0.90002,871.654,153.549,0.841507,877.471,200.528,0.797015,883.599,106.441,0.909869,886.409,153.506,0.92179,883.635,197.787,0.889349,877.51,29.8787,0.493473,880.546,29.8152,0.430298,862.977,29.9283,0.551957,883.385,26.9037,0.21237,889.346,212.451,0.670445,901.07,206.532,0.673316,883.588,200.742,0.631659,880.443,215.283,0.622851,874.59,209.52,0.59269,877.512,203.534,0.606693;971.764,56.3513,0.218622,968.813,59.3572,0.881076,948.246,59.4424,0.754693,930.475,83.0281,0.815776,945.258,106.397,0.618541,986.504,59.2809,0.746759,1004.11,88.7759,0.718345,1004.18,126.917,0.61915,974.591,127.058,0.895731,959.977,127.052,0.804685,957.105,174.134,0.832749,957.032,221.074,0.8375,977.706,127.094,0.852558,977.696,174.158,0.838551,983.532,218.359,0.803115,968.821,53.4704,0.183037,974.642,50.574,0.171934,957.166,47.5892,0.221865,974.806,47.5376,0.175543,992.339,224.308,0.713269,998.12,224.17,0.758029,980.616,221.302,0.685324,957.061,224.33,0.69887,954.089,224.175,0.702295,957.134,221.305,0.730049;1069.05,112.389,0.715049,1068.78,126.884,0.761359,1051.2,126.95,0.780547,1045.33,144.719,0.67396,1045.41,165.256,0.56501,1074.81,124.147,0.658647,1077.77,144.717,0.244387,1080.65,150.591,0.177947,1062.98,159.46,0.582116,1048.47,159.459,0.640637,1048.3,197.639,0.643363,1045.32,227.236,0.62774,1068.93,159.406,0.580249,1071.78,194.734,0.461156,1065.94,224.11,0.271773,1068.88,109.373,0.724202,1071.83,109.368,0.658772,1065.85,109.354,0.552427,1074.82,109.424,0.26821,1068.95,235.941,0.214311,1069.06,233.007,0.187424,1065.95,224.176,0.224973,1048.22,244.692,0.515021,1045.24,241.781,0.50813,1045.3,235.974,0.507913
8_880.486,32.8345,0.566047,874.626,53.3968,0.863835,856.948,53.4811,0.862746,848.104,79.913,0.781035,851.05,103.614,0.745523,886.445,50.4608,0.851677,907.013,79.8403,0.917489,904.124,97.6023,0.670546,877.603,106.379,0.925722,862.863,106.395,0.900947,868.723,153.51,0.844495,871.733,200.527,0.779751,883.532,106.383,0.910892,886.369,153.481,0.918127,883.595,197.787,0.892517,877.544,29.9405,0.497073,880.575,29.8721,0.432449,862.99,29.9488,0.556325,883.438,26.9548,0.213414,886.529,212.427,0.637006,901.067,206.502,0.649148,883.517,200.738,0.636122,877.596,212.423,0.625001,868.796,209.511,0.594836,874.603,200.769,0.60394;962.9,59.3701,0.0633852,968.826,59.3218,0.872167,989.42,59.2625,0.592372,1004.18,85.9305,0.439387,0,0,0,954.21,59.2998,0.632998,0,0,0,0,0,0,974.625,127.079,0.875582,974.759,127.065,0.760322,974.706,174.179,0.770539,977.642,221.22,0.711842,965.905,127.118,0.766395,965.899,174.208,0.768451,968.819,221.217,0.743767,0,0,0,0,0,0,974.647,38.8421,0.173095,962.975,44.6239,0.143621,974.699,224.298,0.511841,971.764,224.217,0.496443,965.934,224.25,0.608835,989.437,227.102,0.499196,0,0,0,977.653,224.188,0.63325;1069.05,112.386,0.651815,1068.75,126.912,0.696866,1051.22,126.981,0.718071,1045.33,147.579,0.611687,1045.41,165.265,0.508024,1071.98,124.178,0.602455,1074.79,147.592,0.206926,1074.82,150.633,0.151015,1060.06,165.277,0.505369,1048.42,165.301,0.577898,1048.37,197.724,0.556028,1045.4,230.06,0.505114,1068.82,165.265,0.485223,1071.8,194.815,0.378352,1065.98,224.203,0.214646,1068.88,109.352,0.663484,1071.82,109.361,0.605775,1065.92,106.668,0.4974,1074.78,109.427,0.241034,1065.97,241.761,0.180802,1068.91,238.873,0.151251,1068.9,227.128,0.190702,1042.41,241.792,0.449601,986.49,224.29,0.49445,1045.34,235.988,0.40495
9_880.56,32.7591,0.636726,874.651,53.4092,0.868337,856.939,53.4826,0.864649,848.146,79.9682,0.792509,851.128,106.363,0.787975,886.513,50.4771,0.849464,906.958,79.8593,0.909717,904.072,100.529,0.687665,877.617,106.472,0.917547,862.852,106.482,0.90194,868.783,153.685,0.827502,874.616,200.749,0.778353,883.564,106.478,0.905062,886.373,153.625,0.907962,883.634,200.661,0.879769,877.609,29.8322,0.55527,880.644,26.9846,0.46694,862.982,29.8886,0.607113,883.543,26.8754,0.177391,889.352,218.192,0.647962,901.124,212.405,0.643399,883.541,206.488,0.615323,880.389,218.256,0.655022,871.667,215.4,0.619814,874.694,206.554,0.59296;971.703,56.3493,0.10853,968.82,59.3657,0.868697,986.436,59.2871,0.485583,1004.24,85.8135,0.398695,0,0,0,968.823,59.2931,0.579461,1004.2,83.0046,0.492531,1001.35,124.018,0.310481,974.638,127.085,0.884096,974.616,127.075,0.75705,971.757,174.193,0.758612,965.927,221.213,0.711806,971.786,127.12,0.771917,971.763,174.223,0.777584,971.81,221.161,0.737934,971.741,50.5657,0.0938876,974.618,47.643,0.0784767,971.718,41.7058,0.194585,968.841,44.6141,0.149255,977.715,224.293,0.538649,980.6,224.206,0.512528,971.777,224.164,0.598809,977.605,227.11,0.531036,974.665,224.3,0.513455,971.728,224.152,0.619548;1069.02,112.318,0.690093,1068.75,126.91,0.745465,1051.2,126.98,0.762051,1045.35,147.595,0.651862,1048.19,165.305,0.522569,1071.99,126.895,0.642862,1074.84,147.569,0.226743,1077.72,150.57,0.15996,1060.06,165.283,0.547018,1048.43,165.312,0.625057,1048.37,197.726,0.599678,1045.38,227.231,0.555881,1068.83,162.439,0.528855,1071.75,194.816,0.41188,1060.08,224.169,0.24176,1068.86,106.655,0.688974,1071.79,106.66,0.64358,1065.92,106.669,0.518783,1074.75,109.409,0.264804,1068.84,235.95,0.197138,1068.89,235.909,0.164912,1065.95,224.243,0.205791,1045.28,241.813,0.473145,1042.38,238.855,0.441274,1045.32,235.942,0.447882;0,0,0,0,0,0,957.093,59.4256,0.519488,930.438,83.0399,0.585486,945.237,103.565,0.367604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_974.627,56.3259,0.251132,968.784,59.4501,0.894088,948.17,59.5482,0.848302,930.469,85.9126,0.855555,945.217,106.566,0.625312,989.438,59.3344,0.862293,1010,83.0107,0.829339,1004.25,118.178,0.479395,974.656,127.181,0.944587,957.069,127.184,0.892767,957.018,176.976,0.891397,954.217,221.195,0.913535,983.509,127.183,0.873539,980.676,174.27,0.866296,983.589,221.21,0.887676,971.773,53.457,0.228656,974.797,50.5786,0.20724,957.1,50.4685,0.243769,980.575,47.5603,0.165549,992.392,227.216,0.778257,998.225,224.323,0.844778,980.697,224.128,0.745701,954.215,227.203,0.759497,951.154,224.29,0.759774,957.051,224.089,0.794595;880.604,32.7426,0.67441,874.688,53.4033,0.873559,856.948,53.46,0.875161,851.099,79.9573,0.821081,854.031,106.391,0.838006,889.345,50.4866,0.863114,904.083,77.068,0.883319,903.899,100.545,0.660361,877.608,106.454,0.911488,862.836,106.465,0.905686,871.684,153.708,0.816136,877.47,203.576,0.781855,883.587,106.458,0.905087,886.404,153.646,0.903756,886.438,200.775,0.854701,880.339,29.8,0.586819,883.331,26.9666,0.478855,862.976,29.8606,0.631737,883.554,18.1125,0.133651,892.349,218.339,0.683779,903.98,215.403,0.690298,883.621,209.48,0.599246,880.481,221.113,0.67585,874.622,218.286,0.634059,877.517,212.374,0.600216;1068.95,109.461,0.726655,1065.98,124.155,0.710862,1048.39,126.93,0.797196,1045.23,147.568,0.689821,1045.46,165.328,0.548636,1071.92,124.137,0.625558,1071.93,147.56,0.211063,1074.81,150.495,0.142469,1054.22,162.385,0.532352,1048.28,162.407,0.617056,1045.41,197.659,0.619035,1045.24,227.166,0.568792,1065.96,162.346,0.50772,1068.85,194.801,0.38803,1045.53,224.163,0.246518,1068.78,106.558,0.713409,1071.72,106.554,0.701362,1063.05,106.594,0.516952,1072.02,106.613,0.294503,0,0,0,0,0,0,1042.35,224.26,0.206455,1045.36,241.821,0.436975,1042.44,238.844,0.41968,1045.25,235.936,0.443565
